JD, Filter,Magnitude, Ref 1 Magnitude
2459486.619, B,-0.76,0
2459486.619, B,-0.779,0
2459486.619, B,-0.783,0
2459486.619, B,-0.794,0
2459486.619, B,-0.787,0
2459486.62, B,-0.779,0
2459486.62, B,-0.777,0
2459486.62, B,-0.787,0
2459486.62, B,-0.8,0
2459486.62, B,-0.788,0
2459486.62, B,-0.806,0
2459486.621, B,-0.799,0
2459486.621, B,-0.807,0
2459486.621, B,-0.81,0
2459486.621, B,-0.822,0
2459486.621, B,-0.815,0
2459486.621, B,-0.821,0
2459486.621, B,-0.824,0
2459486.622, B,-0.825,0
2459486.622, B,-0.847,0
2459486.622, B,-0.842,0
2459486.622, B,-0.837,0
2459486.622, B,-0.835,0
2459486.622, B,-0.855,0
2459486.622, B,-0.855,0
2459486.623, B,-0.859,0
2459486.623, B,-0.872,0
2459486.623, B,-0.878,0
2459486.623, B,-0.875,0
2459486.623, B,-0.887,0
2459486.623, B,-0.888,0
2459486.624, B,-0.893,0
2459486.624, B,-0.891,0
2459486.624, B,-0.912,0
2459486.624, B,-0.902,0
2459486.624, B,-0.93,0
2459486.624, B,-0.933,0
2459486.624, B,-0.935,0
2459486.625, B,-0.962,0
2459486.625, B,-0.958,0
2459486.625, B,-0.971,0
2459486.625, B,-0.964,0
2459486.625, B,-0.978,0
2459486.625, B,-0.998,0
2459486.625, B,-1.018,0
2459486.626, B,-1.013,0
2459486.626, B,-1.029,0
2459486.626, B,-1.047,0
2459486.626, B,-1.062,0
2459486.626, B,-1.06,0
2459486.626, B,-1.099,0
2459486.627, B,-1.111,0
2459486.627, B,-1.128,0
2459486.627, B,-1.139,0
2459486.627, B,-1.156,0
2459486.627, B,-1.187,0
2459486.627, B,-1.209,0
2459486.627, B,-1.215,0
2459486.628, B,-1.24,0
2459486.628, B,-1.279,0
2459486.628, B,-1.286,0
2459486.628, B,-1.304,0
2459486.628, B,-1.333,0
2459486.628, B,-1.353,0
2459486.629, B,-1.378,0
2459486.629, B,-1.4,0
2459486.629, B,-1.412,0
2459486.629, B,-1.447,0
2459486.629, B,-1.454,0
2459486.629, B,-1.481,0
2459486.629, B,-1.51,0
2459486.63, B,-1.507,0
2459486.63, B,-1.52,0
2459486.63, B,-1.544,0
2459486.63, B,-1.554,0
2459486.63, B,-1.561,0
2459486.63, B,-1.565,0
2459486.63, B,-1.587,0
2459486.631, B,-1.578,0
2459486.631, B,-1.579,0
2459486.631, B,-1.593,0
2459486.631, B,-1.593,0
2459486.631, B,-1.582,0
2459486.631, B,-1.607,0
2459486.632, B,-1.596,0
2459486.632, B,-1.587,0
2459486.632, B,-1.595,0
2459486.632, B,-1.609,0
2459486.632, B,-1.593,0
2459486.632, B,-1.608,0
2459486.632, B,-1.598,0
2459486.633, B,-1.596,0
2459486.633, B,-1.588,0
2459486.633, B,-1.594,0
2459486.633, B,-1.589,0
2459486.633, B,-1.599,0
2459486.633, B,-1.58,0
2459486.633, B,-1.586,0
2459486.634, B,-1.563,0
2459486.634, B,-1.571,0
2459486.634, B,-1.556,0
2459486.634, B,-1.545,0
2459486.634, B,-1.576,0
2459486.634, B,-1.549,0
2459486.635, B,-1.553,0
2459486.635, B,-1.557,0
2459486.635, B,-1.529,0
2459486.635, B,-1.53,0
2459486.635, B,-1.54,0
2459486.635, B,-1.52,0
2459486.635, B,-1.524,0
2459486.636, B,-1.511,0
2459486.636, B,-1.519,0
2459486.636, B,-1.505,0
2459486.636, B,-1.5,0
2459486.636, B,-1.493,0
2459486.636, B,-1.48,0
2459486.636, B,-1.48,0
2459486.637, B,-1.492,0
2459486.637, B,-1.482,0
2459486.637, B,-1.466,0
2459486.637, B,-1.463,0
2459486.637, B,-1.481,0
2459486.637, B,-1.456,0
2459486.638, B,-1.458,0
2459486.638, B,-1.433,0
2459486.638, B,-1.433,0
2459486.638, B,-1.438,0
2459486.638, B,-1.425,0
2459486.638, B,-1.422,0
2459486.638, B,-1.427,0
2459486.639, B,-1.435,0
2459486.639, B,-1.429,0
2459486.639, B,-1.408,0
2459486.639, B,-1.398,0
2459486.639, B,-1.395,0
2459486.639, B,-1.382,0
2459486.64, B,-1.373,0
2459486.64, B,-1.382,0
2459486.64, B,-1.364,0
2459486.64, B,-1.353,0
2459486.64, B,-1.349,0
2459486.64, B,-1.345,0
2459486.64, B,-1.336,0
2459486.641, B,-1.342,0
2459486.641, B,-1.344,0
2459486.641, B,-1.327,0
2459486.641, B,-1.333,0
2459486.641, B,-1.319,0
2459486.641, B,-1.307,0
2459486.641, B,-1.29,0
2459486.642, B,-1.289,0
2459486.642, B,-1.293,0
2459486.642, B,-1.267,0
2459486.642, B,-1.258,0
2459486.642, B,-1.235,0
2459486.642, B,-1.245,0
2459486.643, B,-1.236,0
2459486.643, B,-1.212,0
2459486.643, B,-1.233,0
2459486.643, B,-1.219,0
2459486.643, B,-1.206,0
2459486.643, B,-1.203,0
2459486.643, B,-1.186,0
2459486.644, B,-1.164,0
2459486.644, B,-1.163,0
2459486.644, B,-1.17,0
2459486.644, B,-1.157,0
2459486.644, B,-1.144,0
2459486.644, B,-1.17,0
2459486.644, B,-1.132,0
2459486.645, B,-1.152,0
2459486.645, B,-1.142,0
2459486.645, B,-1.131,0
2459486.645, B,-1.112,0
2459486.645, B,-1.111,0
2459486.645, B,-1.108,0
2459486.646, B,-1.103,0
2459486.646, B,-1.105,0
2459486.646, B,-1.096,0
2459486.646, B,-1.092,0
2459486.646, B,-1.08,0
2459486.646, B,-1.09,0
2459486.646, B,-1.078,0
2459486.647, B,-1.074,0
2459486.647, B,-1.07,0
2459486.647, B,-1.057,0
2459486.647, B,-1.061,0
2459486.647, B,-1.059,0
2459486.647, B,-1.037,0
2459486.648, B,-1.034,0
2459486.648, B,-1.041,0
2459486.648, B,-1.023,0
2459486.648, B,-1.029,0
2459486.648, B,-1.011,0
2459486.648, B,-1.012,0
2459486.648, B,-1.008,0
2459486.649, B,-1.016,0
2459486.649, B,-1.001,0
2459486.649, B,-0.997,0
2459486.649, B,-0.983,0
2459486.649, B,-0.996,0
2459486.649, B,-0.98,0
2459486.649, B,-0.975,0
2459486.65, B,-0.973,0
2459486.65, B,-0.974,0
2459486.65, B,-0.955,0
2459486.65, B,-0.959,0
2459486.65, B,-0.947,0
2459486.65, B,-0.968,0
2459486.651, B,-0.949,0
2459486.651, B,-0.933,0
2459486.651, B,-0.926,0
2459486.651, B,-0.919,0
2459486.651, B,-0.937,0
2459486.652, B,-0.906,0
2459486.652, B,-0.919,0
2459486.652, B,-0.908,0
2459486.652, B,-0.922,0
2459486.653, B,-0.896,0
2459486.653, B,-0.885,0
2459486.653, B,-0.872,0
2459486.653, B,-0.885,0
2459486.653, B,-0.886,0
2459486.653, B,-0.904,0
2459486.653, B,-0.874,0
2459486.654, B,-0.892,0
2459486.654, B,-0.873,0
2459486.654, B,-0.863,0
2459486.654, B,-0.881,0
2459486.654, B,-0.864,0
2459486.654, B,-0.874,0
2459486.655, B,-0.864,0
2459486.655, B,-0.868,0
2459486.655, B,-0.862,0
2459486.655, B,-0.866,0
2459486.655, B,-0.85,0
2459486.655, B,-0.857,0
2459486.655, B,-0.864,0
2459486.656, B,-0.852,0
2459486.656, B,-0.85,0
2459486.656, B,-0.853,0
2459486.656, B,-0.845,0
2459486.656, B,-0.844,0
2459486.656, B,-0.857,0
2459486.657, B,-0.848,0
2459486.657, B,-0.824,0
2459486.657, B,-0.855,0
2459486.657, B,-0.833,0
2459486.657, B,-0.843,0
2459486.657, B,-0.845,0
2459486.657, B,-0.845,0
2459486.658, B,-0.813,0
2459486.658, B,-0.835,0
2459486.658, B,-0.831,0
2459486.658, B,-0.836,0
2459486.658, B,-0.829,0
2459486.658, B,-0.829,0
2459486.658, B,-0.818,0
2459486.659, B,-0.816,0
2459486.659, B,-0.818,0
2459486.659, B,-0.82,0
2459486.659, B,-0.812,0
2459486.659, B,-0.81,0
2459486.659, B,-0.81,0
2459486.66, B,-0.809,0
2459486.66, B,-0.81,0
2459486.66, B,-0.806,0
2459486.66, B,-0.803,0
2459486.66, B,-0.807,0
2459486.66, B,-0.803,0
2459486.66, B,-0.8,0
2459486.661, B,-0.798,0
2459486.661, B,-0.789,0
2459486.661, B,-0.798,0
2459486.661, B,-0.796,0
2459486.661, B,-0.805,0
2459486.661, B,-0.784,0
2459486.661, B,-0.781,0
2459486.662, B,-0.8,0
2459486.662, B,-0.793,0
2459486.662, B,-0.792,0
2459486.662, B,-0.779,0
2459486.662, B,-0.773,0
2459486.662, B,-0.781,0
2459486.663, B,-0.778,0
2459486.663, B,-0.779,0
2459486.663, B,-0.785,0
2459486.663, B,-0.776,0
2459486.663, B,-0.771,0
2459486.663, B,-0.793,0
2459486.663, B,-0.759,0
2459486.664, B,-0.773,0
2459486.664, B,-0.76,0
2459486.664, B,-0.766,0
2459486.664, B,-0.769,0
2459486.664, B,-0.776,0
2459486.664, B,-0.765,0
2459486.665, B,-0.76,0
2459486.665, B,-0.762,0
2459486.665, B,-0.749,0
2459486.665, B,-0.756,0
2459486.665, B,-0.768,0
2459486.665, B,-0.76,0
2459486.665, B,-0.737,0
2459486.666, B,-0.744,0
2459486.666, B,-0.753,0
2459486.666, B,-0.753,0
2459486.666, B,-0.751,0
2459486.666, B,-0.749,0
2459486.666, B,-0.745,0
2459486.666, B,-0.748,0
2459486.667, B,-0.748,0
2459486.667, B,-0.746,0
2459486.667, B,-0.746,0
2459486.667, B,-0.735,0
2459486.667, B,-0.731,0
2459486.667, B,-0.732,0
2459486.668, B,-0.731,0
2459486.668, B,-0.724,0
2459486.668, B,-0.734,0
2459486.668, B,-0.746,0
2459486.668, B,-0.742,0
2459486.668, B,-0.739,0
2459486.668, B,-0.744,0
2459486.669, B,-0.729,0
2459486.669, B,-0.742,0
2459486.669, B,-0.736,0
2459486.669, B,-0.732,0
2459486.669, B,-0.731,0
2459486.669, B,-0.732,0
2459486.669, B,-0.727,0
2459486.67, B,-0.731,0
2459486.67, B,-0.736,0
2459486.67, B,-0.723,0
2459486.67, B,-0.732,0
2459486.67, B,-0.728,0
2459486.67, B,-0.738,0
2459486.671, B,-0.736,0
2459486.671, B,-0.726,0
2459486.671, B,-0.732,0
2459486.671, B,-0.73,0
2459486.671, B,-0.728,0
2459486.671, B,-0.723,0
2459486.671, B,-0.726,0
2459486.672, B,-0.726,0
2459486.672, B,-0.723,0
2459486.672, B,-0.73,0
2459486.672, B,-0.733,0
2459486.672, B,-0.744,0
2459486.672, B,-0.72,0
2459486.673, B,-0.727,0
2459486.673, B,-0.698,0
2459486.673, B,-0.728,0
2459486.673, B,-0.718,0
2459486.673, B,-0.729,0
2459486.673, B,-0.741,0
2459486.673, B,-0.733,0
2459486.674, B,-0.726,0
2459486.674, B,-0.724,0
2459486.674, B,-0.732,0
2459486.674, B,-0.723,0
2459486.674, B,-0.721,0
2459486.674, B,-0.728,0
2459486.674, B,-0.721,0
2459486.675, B,-0.736,0
2459486.675, B,-0.741,0
2459486.675, B,-0.73,0
2459486.675, B,-0.734,0
2459486.675, B,-0.717,0
2459486.675, B,-0.727,0
2459486.676, B,-0.726,0
2459486.676, B,-0.734,0
2459486.676, B,-0.736,0
2459486.676, B,-0.726,0
2459486.676, B,-0.73,0
2459486.676, B,-0.733,0
2459486.676, B,-0.743,0
2459486.677, B,-0.746,0
2459486.677, B,-0.746,0
2459486.677, B,-0.745,0
2459486.677, B,-0.752,0
2459486.677, B,-0.739,0
2459486.677, B,-0.753,0
2459486.677, B,-0.747,0
2459486.678, B,-0.728,0
2459486.678, B,-0.745,0
2459486.678, B,-0.742,0
2459486.678, B,-0.742,0
2459486.678, B,-0.749,0
2459486.678, B,-0.741,0
2459486.679, B,-0.742,0
2459486.679, B,-0.744,0
2459486.679, B,-0.76,0
2459486.679, B,-0.748,0
2459486.679, B,-0.749,0
2459486.679, B,-0.762,0
2459486.679, B,-0.772,0
2459486.68, B,-0.76,0
2459486.68, B,-0.764,0
2459486.68, B,-0.735,0
2459486.68, B,-0.771,0
2459486.68, B,-0.769,0
2459486.68, B,-0.768,0
2459486.681, B,-0.774,0
2459486.681, B,-0.778,0
2459486.681, B,-0.775,0
2459486.681, B,-0.787,0
2459486.681, B,-0.785,0
2459486.681, B,-0.787,0
2459486.681, B,-0.768,0
2459486.682, B,-0.785,0
2459486.682, B,-0.791,0
2459486.682, B,-0.793,0
2459486.682, B,-0.8,0
2459486.682, B,-0.803,0
2459486.682, B,-0.815,0
2459486.682, B,-0.816,0
2459486.683, B,-0.81,0
2459486.683, B,-0.81,0
2459486.683, B,-0.834,0
2459486.683, B,-0.827,0
2459486.683, B,-0.838,0
2459486.683, B,-0.838,0
2459486.684, B,-0.842,0
2459486.684, B,-0.853,0
2459486.684, B,-0.85,0
2459486.684, B,-0.858,0
2459486.684, B,-0.871,0
2459486.684, B,-0.876,0
2459486.684, B,-0.867,0
2459486.685, B,-0.893,0
2459486.685, B,-0.889,0
2459486.685, B,-0.89,0
2459486.685, B,-0.896,0
2459486.685, B,-0.902,0
2459486.685, B,-0.915,0
2459486.685, B,-0.924,0
2459486.686, B,-0.951,0
2459486.686, B,-0.948,0
2459486.686, B,-0.96,0
2459486.686, B,-0.969,0
2459486.686, B,-0.977,0
2459486.686, B,-0.968,0
2459486.687, B,-1.004,0
2459486.687, B,-1.009,0
2459486.687, B,-1.023,0
2459486.687, B,-1.041,0
2459486.687, B,-1.048,0
2459486.687, B,-1.072,0
2459486.687, B,-1.086,0
2459486.688, B,-1.09,0
2459486.688, B,-1.117,0
2459486.688, B,-1.131,0
2459486.688, B,-1.141,0
2459486.688, B,-1.179,0
2459486.688, B,-1.194,0
2459486.689, B,-1.204,0
2459486.689, B,-1.233,0
2459486.689, B,-1.271,0
2459486.689, B,-1.297,0
2459486.689, B,-1.313,0
2459486.689, B,-1.323,0
2459486.689, B,-1.347,0
2459486.69, B,-1.374,0
2459486.69, B,-1.392,0
2459486.69, B,-1.417,0
2459486.69, B,-1.419,0
2459486.69, B,-1.441,0
2459486.69, B,-1.463,0
2459486.69, B,-1.474,0
2459486.691, B,-1.494,0
2459486.691, B,-1.505,0
2459486.691, B,-1.521,0
2459486.691, B,-1.531,0
2459486.691, B,-1.532,0
2459486.691, B,-1.543,0
2459486.692, B,-1.565,0
2459486.692, B,-1.561,0
2459486.692, B,-1.57,0
2459486.692, B,-1.575,0
2459486.692, B,-1.569,0
2459486.692, B,-1.581,0
2459486.692, B,-1.582,0
2459486.693, B,-1.585,0
2459486.693, B,-1.587,0
2459486.693, B,-1.588,0
2459486.693, B,-1.587,0
2459486.693, B,-1.581,0
